(1.1, -22.7)
318.4735
(0.5, -22.3)
265.4894
(-0.6, -22.2)
311.3723
(-1.0, -21.1)
10.34633
(-1.0, -20.1)
51.84209
(-1.0, -19.0)
100.22
(-1.0, -18.0)
158.097
(-0.9, -17.1)
281.7623
(-1.4, -16.2)
327.515
(-1.9, -15.3)
17.36633
(-1.8, -14.3)
111.1573
(-1.1, -13.5)
203.8155
(-1.1, -12.4)
232.195
(-1.2, -11.4)
269.4505
(-0.4, -10.6)
292.9542
(0.4, -9.8)
321.3338
(1.1, -9.1)
359.4652
(1.9, -8.5)
74.85211
(1.2, -8.0)
336.4965
(1.0, -7.0)
25.88303
(0.7, -6.0)
79.41141
(0.5, -4.9)
143.0579
(0.3, -3.9)
220.892
